Sn         band Tmax      Mmax   error   ts1            ts2            ts31           ts32           s      error  b      s1     error  s2     error  b1     s3     error  b3     Ttrans    error  Tpt       error     Tend      Mend      error     Ttail     Mtail     error     w0        error     a0        error  max2  error tmax2
sn2006ee     B  53978.90  18.24  0.02    53975.1711694  54040.4897177  53980.353629   54036.5784274  1.71   0.04   18.31  4.61   0.58   1.22   0.05   18.07  nan    nan    nan    53987.95  1.41   nan       nan       54050.80  19.51     0.09      nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2007aa     B  54152.50  16.13  0.02    54151.1461694  54197.0836694  54224.1804435  54250.5362903  0.98   0.02   16.24  2.87   0.64   0.80   0.03   16.10  2.04   0.92   18.78  54160.87  1.88   54220.87  163.13    nan       17.03     0.17      nan       18.79     2.02      3.22      45.03     1.66      0.17   nan   nan   nan
sn2007ah     B  54169.00  17.68  0.03    54166.5403226  54190.3407258  54168.9596774  54192.6391129  0.38   0.26   17.67  nan    nan    0.38   0.26   17.67  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2007it     B  54356.50  13.19  0.01    54354.8155242  54377.421371   54472.96875    54648.390121   4.10   0.08   13.09  nan    nan    4.10   0.08   13.09  0.74   0.01   17.13  nan       nan    54461.39  0.21      nan       15.77     0.03      nan       17.08     0.01      3.67      0.11      1.27      0.03   nan   nan   nan
sn2007oc     B  54408.50  15.27  0.01    54406.9354839  54451.453629   54427.1905242  54467.4858871  3.08   0.02   15.37  5.29   0.11   2.53   0.03   15.19  nan    nan    nan    54419.31  0.32   nan       nan       54460.50  16.98     0.02      nan       nan       nan       nan       nan       nan       nan    nan   nan   nan     
sn2007q      B  nan       nan    nan     54125.5        54159.4919355  54123.6048387  54159.4112903  1.03   0.51   19.48  nan    nan    1.03   0.51   19.48  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2008aw     B  54529.80  15.79  0.01    54539.6125     54588.4370968  54619.675      54654.3564516  4.71   0.02   16.34  5.83   0.09   3.87   0.05   16.25  1.91   0.22   20.33  54557.09  0.66   54602.58  1.59      nan       18.45     0.33      nan       20.20     0.56      4.44      1.58      1.54      0.34   nan   nan   nan  
sn2008bk     B  54554.50  12.89  0.02    54570.2127016  54655.5584677  54718.3679435  54772.2046371  0.83   0.01   13.62  1.42   0.08   0.75   0.01   13.50  0.98   0.04   17.62  54594.39  1.45   nan       nan       54661.54  14.39     0.01      54711.54  17.54     0.03      5.49      0.00      nan       nan    nan   nan   nan
sn2008fq     B  54728.68  16.41  0.10    54727.4419355  54789.5709677  54729.6193548  54791.5306452  3.92   0.24   16.40  4.65   0.48   3.02   0.37   16.28  nan    nan    nan    54759.45  53.28  nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2008ij     B  54828.72  15.19  0.10    54833.108266   54880.485282   54829.361290   54880.040726   2.67   0.21   15.54  6.67   1.09   1.20   0.36   15.04  nan    nan    nan    54851.08  2.01   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2009ib     B  55054.30  15.91  0.02    55052.687097   55154.808065   55186.646774   55215.267742   1.50   0.02   16.48  4.80   0.10   0.59   0.03   15.93  0.37   0.99   19.11  55079.12  0.43   55178.16  0.73      nan       17.78     0.08      nan       19.07     0.09      3.97      0.58      1.27      0.08   nan   nan   nan   
sn2009kr     B  55145.00  15.74  0.07    55153.3125     55231.78125    55164.375      55203.46875    4.44   0.11   15.97  5.94   0.38   3.20   0.33   15.83  nan    nan    nan    55185.01  4.98   nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan      
sn2009ls     B  55162.61  14.81  0.10    55164.8790323  55250.1350806  55189.9717742  55233.0443548  3.64   0.09   14.76  nan    nan    3.64   0.09   14.76  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan      
sn2009md     B  55179.00  17.30  0.07    55176.3457661  55265.8457661  55290.3860887  55350.4737903  1.60   0.07   17.55  3.96   0.56   1.23   0.10   17.22  0.94   0.84   22.23  55196.56  2.68   55278.53  0.67      nan       19.04     0.19      nan       22.02     0.22      3.09      0.93      3.05      0.19   nan   nan   nan     
sn2009n      B  54859.08  16.51  0.05    54860.6058468  54943.0604839  54960.7580645  54982.7459677  1.79   0.02   16.86  5.95   0.63   1.47   0.02   16.44  0.30   0.75   20.41  54874.31  1.33   54955.97  0.29      nan       18.40     0.06      nan       20.33     0.06      3.25      0.19      1.81      0.06   nan   nan   nan
sn2010f      B  55212.20  15.74  0.07    55211.0104839  55267.5961694  55210.5659274  55267.9772177  2.69   0.09   16.04  nan    nan    2.69   0.09   16.04  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan
sn2011cj     B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan   
sn2011cl     B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan   
sn2012a      B  55940.98  13.85  0.10    55942.597782   56019.321573   56046.977823   56223.620968   2.35   0.02   14.35  5.94   0.25   1.45   0.04   13.90  0.74   0.07   18.94  55963.76  0.76   56037.47  0.27      nan       16.20     0.07      nan       18.92     0.08      4.53      0.18      2.65      0.07   nan   nan   nan   
sn2012aw     B  56010.75  13.30  0.06    56019.380040   56112.419355   56219.340726   56289.637097   1.51   0.02   13.94  3.65   0.15   1.19   0.02   13.55  0.80   0.04   17.97  56042.94  0.79   56129.74  0.66      nan       15.16     0.04      nan       17.08     0.05      6.43      0.00      1.70      0.04   nan   nan   nan  
sn2012ec     B  56154.00  14.88  0.02    56151.8366935  56235.9243952  56260.2389113  56346.9606855  2.23   0.03   15.04  3.72   0.14   1.31   0.07   14.82  0.94   0.15   18.46  56180.53  1.25   56247.52  0.89      nan       16.67     0.10      nan       18.19     0.12      4.27      0.00      1.29      0.10   nan   nan   nan   
sn2013cf     B  nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan   nan       
sn2013ej     B  56505.97  12.45  0.03    56512.016129   56589.7802419  56604.6653226  56636.8004032  4.24   0.06   12.85  5.45   0.12   2.40   0.24   12.72  1.24   0.02   17.65  56543.06  1.85   56596.71  0.85      nan       15.53     0.10      nan       17.64     0.15      2.83      0.77      1.85      0.10   nan   nan   nan   
sn2014cy     B  56903.50  15.83  0.03    56909.296371   57014.3467742  56909.8104839  57012.9758065  2.75   0.03   16.17  4.51   0.13   1.84   0.07   15.96  nan    nan    nan    56942.18  1.54   nan       nan       57009.55  18.70     0.20      nan       nan       nan       nan       nan       nan       nan    nan   nan   nan       
